RouteID,Pace_min_per_mile_mean,Pace_min_per_mile_median,Pace_min_per_mile_std,Average Grade Adjusted Pace_mean,Elevation Gain_mean,Relative Effort_mean,Distance_mean,Distance_count
108,9.57,9.57,0.24041630560342606,2.7965,4.95,28.0,3.295,2
109,9.37,9.37,,2.867,70.5,117.0,12.88,1
110,9.645,9.645,0.021213203435595344,2.799,60.0,76.0,9.66,2
111,8.83,8.83,,2.744,11.8,10.0,2.27,1
112,9.77,9.77,,2.753,68.8,101.0,12.91,1
113,9.7,9.7,,2.779,45.5,72.0,9.66,1
114,9.99,9.99,,2.702,78.4,140.0,14.48,1
115,9.76,9.76,,2.751,48.0,86.0,10.03,1
116,8.83,8.83,,3.04,30.8,86.0,8.12,1
117,9.34,9.34,,2.877,2.3,28.0,3.23,1
118,9.78,9.78,,2.76,72.4,91.0,12.94,1
119,9.27,9.27,,2.908,45.1,89.0,10.22,1
120,9.63,9.63,,2.798,60.6,147.0,16.24,1
121,9.24,9.24,,2.904,18.2,56.0,6.44,1
122,9.64,9.64,,2.792,54.9,53.0,9.7,1
123,8.56,8.56,,3.108,5.7,97.0,8.04,1
124,9.22,9.22,,2.919,30.0,62.0,8.06,1
125,9.38,9.38,,2.871,42.3,88.0,9.68,1
126,9.67,9.67,0.282842712474618,2.7965,58.4,62.5,8.08,2
127,9.63,9.63,,2.798,67.8,115.0,11.06,1
128,10.08,10.08,,2.7,25.9,26.0,4.83,1
129,8.87,8.87,,2.98,8.2,125.0,9.67,1
130,9.63,9.63,,2.788,20.1,62.0,8.16,1
131,9.34,9.34,,2.885,49.6,65.0,8.09,1
132,9.183333333333332,9.19,0.4400378771575614,2.9303333333333335,20.966666666666665,80.33333333333333,8.076666666666666,3
133,9.51,9.51,,2.839,82.4,110.0,14.49,1
134,9.35,9.35,,2.868,6.5,40.0,4.89,1
135,9.49,9.49,,2.837,50.9,66.0,8.06,1
136,8.52,8.52,,3.152,6.9,104.0,9.75,1
137,9.81,9.81,,2.75,45.5,37.0,8.05,1
138,9.1,9.1,,2.956,26.2,57.0,9.75,1
139,10.06,10.06,,2.669,46.8,94.0,16.1,1
140,10.71,10.71,,2.522,6.4,1.0,0.85,1
141,10.64,10.64,,2.546,3.9,7.0,1.67,1
142,10.56,10.56,,2.55,12.2,17.0,4.99,1
143,10.09,10.09,,2.664,12.2,26.0,4.83,1
145,10.25,10.25,,2.639,24.5,37.0,4.89,1
146,9.83,9.83,,2.744,32.0,54.0,6.68,1
147,8.89,8.89,,3.033,26.6,105.0,7.25,1
148,9.25,9.25,,2.909,12.1,59.0,5.02,1
149,9.14,9.14,0.268700576850888,2.9515,29.5,65.0,6.535,2
150,9.35,9.35,,2.897,45.9,45.0,6.71,1
151,8.6,8.6,,3.122,8.0,81.0,6.44,1
152,9.22,9.22,,2.915,10.6,92.0,8.06,1
153,9.47,9.47,,2.842,29.5,63.0,6.44,1
154,8.93,8.93,,3.015,54.0,115.0,11.59,1
155,9.44,9.44,,2.849,16.8,51.0,6.45,1
156,9.5,9.5,,2.846,42.0,49.0,6.19,1
157,9.51,9.51,,2.829,9.5,45.0,4.92,1
158,9.68,9.68,,2.778,25.6,112.0,6.98,1
159,9.1,9.1,,2.978,50.7,176.0,10.24,1
160,10.09,10.09,,2.664,18.5,125.0,9.42,1
161,8.78,8.78,,3.106,134.1,165.0,11.38,1
162,10.04,10.04,,2.677,10.3,31.0,6.77,1
163,9.43,9.43,,2.909,10.1,14.0,1.67,1
164,11.09,11.09,,2.432,2.7,15.0,1.45,1
165,9.26,9.26,,2.906,20.5,72.0,6.73,1
166,9.6,9.6,,2.804,39.7,96.0,11.81,1
167,9.3,9.3,0.19798989873223347,2.896,23.85,56.0,6.3149999999999995,2
168,8.64,8.64,,3.128,52.6,174.0,12.74,1
169,9.71,9.71,,2.774,17.7,57.0,6.99,1
170,9.056666666666667,9.04,0.13576941236277534,2.9883333333333333,88.73333333333333,148.33333333333334,13.04,3
171,9.175,9.175,0.20506096654410005,2.9284999999999997,8.95,53.0,6.705,2
172,8.5,8.5,,3.213,137.0,161.0,13.72,1
173,9.43,9.43,,2.87,80.5,95.0,11.81,1
174,8.67,8.67,,3.124,107.5,173.0,15.29,1
175,9.42,9.42,,2.853,14.6,69.0,7.77,1
176,9.8,9.8,,2.746,28.5,52.0,7.65,1
177,9.51,9.51,,2.845,2.8,15.0,2.15,1
178,11.27,11.27,,2.386,0.0,14.0,1.55,1
179,9.42,9.42,,2.866,85.7,117.0,14.6,1
180,8.88,8.88,,3.038,52.1,179.0,15.62,1
181,9.31,9.31,,2.889,25.3,98.0,10.37,1
182,10.06,10.06,,2.671,10.7,33.0,6.66,1
183,9.03,9.03,,2.992,87.4,166.0,16.29,1
184,9.25,9.25,,2.91,33.0,65.0,9.39,1
185,8.45,8.45,,3.198,52.6,172.0,14.28,1
186,9.02,9.02,0.09899494936611705,2.9885,33.35,81.5,10.045,2
187,9.19,9.19,,2.946,77.8,95.0,10.0,1
188,9.06,9.06,,3.064,166.3,150.0,13.14,1
189,9.42,9.42,,2.861,26.8,68.0,8.49,1
190,9.28,9.28,,2.916,95.4,208.0,17.81,1
191,9.52,9.52,,2.828,15.2,58.0,6.49,1
192,8.22,8.22,,3.283,52.9,140.0,14.4,1
193,9.59,9.59,,2.812,51.8,52.0,10.54,1
194,9.54,9.54,,2.816,11.0,55.0,7.02,1
195,9.11,9.11,,2.951,18.3,78.0,7.41,1
196,8.86,8.86,,3.017,0.0,25.0,2.14,1
197,9.31,9.31,,2.905,75.0,110.0,13.85,1
198,8.97,8.97,,3.008,52.4,199.0,16.02,1
199,9.25,9.25,,2.913,31.6,91.0,9.84,1
200,9.14,9.14,,2.966,110.2,181.0,15.07,1
201,9.89,9.89,,2.728,40.2,34.0,7.19,1
202,9.47,9.47,,2.85,88.4,159.0,16.11,1
203,10.19,10.19,,2.636,22.0,46.0,7.88,1
204,8.3,8.3,,3.254,52.4,173.0,14.17,1
205,9.26,9.26,,2.902,10.5,55.0,7.06,1
206,8.53,8.53,,3.17,69.3,128.0,10.62,1
207,9.44,9.44,,2.849,23.1,62.0,8.86,1
208,9.55,9.55,,2.82,25.5,36.0,5.45,1
209,10.19,10.19,,2.64,4.8,14.0,1.59,1
210,8.94,8.94,,3.027,92.8,158.0,16.83,1
211,8.73,8.73,,3.094,52.3,135.0,12.95,1
212,9.7,9.7,,2.791,21.4,77.0,9.02,1
213,9.75,9.75,,2.758,8.0,55.0,8.05,1
214,76.85,76.85,,0.352,87.4,146.0,13.3,1
215,9.4,9.4,,2.878,78.6,70.0,10.89,1
216,9.48,9.48,,2.832,12.1,54.0,7.17,1
217,9.38,9.38,,2.877,51.7,76.0,10.18,1
218,10.14,10.14,,2.649,8.5,20.0,6.43,1
219,8.88,8.88,,3.037,35.5,88.0,9.15,1
220,9.89,9.89,,2.725,21.2,30.0,6.51,1
221,8.67,8.67,,3.18,48.2,60.0,4.44,1
222,9.06,9.06,,2.987,78.1,92.0,10.66,1
223,9.33,9.33,,2.887,22.6,67.0,7.86,1
224,8.93,8.93,,3.016,29.2,76.0,9.67,1
225,7.87,7.87,,3.455,74.8,114.0,10.67,1
226,9.0,9.0,,2.993,35.9,77.0,10.74,1
227,8.93,8.93,,3.034,64.6,106.0,9.93,1
228,9.05,8.98,0.2734958866235462,2.98,49.349999999999994,110.75,10.5225,4
229,8.66,8.66,,3.112,78.7,128.0,13.45,1
230,10.27,10.27,,2.682,55.8,107.0,9.32,1
231,9.22,9.22,,2.935,78.6,85.0,10.92,1
232,9.1,9.1,,2.952,16.9,67.0,8.39,1
233,9.01,9.01,,2.987,6.9,32.0,2.29,1
234,8.7,8.7,,3.097,28.9,79.0,5.94,1
235,8.53,8.53,,3.167,59.6,128.0,8.81,1
236,8.92,8.92,,3.026,55.4,117.0,8.83,1
237,9.0,9.0,,2.975,0.0,15.0,2.06,1
238,7.95,7.95,,3.381,22.5,111.0,7.39,1
239,9.19,9.19,,2.927,11.7,33.0,3.5,1
240,9.04,9.04,,2.983,83.7,172.0,15.06,1
241,10.22,10.22,,2.63,43.1,56.0,7.69,1
242,9.67,9.67,,2.791,15.7,22.0,2.46,1
243,9.12,9.12,,2.949,26.3,156.0,12.14,1
244,10.47,10.47,,,23.3,,5.46,1
245,8.79,8.79,0.14142135623730964,,33.55,,5.055,2
246,8.43,8.43,,,22.0,,3.78,1
247,8.79,8.79,,,22.1,,4.56,1
248,9.42,9.42,,,13.6,,4.05,1
249,9.59,9.59,0.09899494936611705,,33.9,,5.27,2
250,8.95,8.95,,,45.4,,8.06,1
