RouteID,Average Speed_mean,Average Speed_median,Average Speed_std,Average Grade Adjusted Pace_mean,Elevation Gain_mean,Relative Effort_mean,Distance_mean,Distance_count
3.71,3.015,3.015,,,20.6,28.0,3.71,1
3.72,3.138,3.138,,3.196,14.0,37.0,3.72,1
3.78,2.9859999999999998,2.9859999999999998,0.27577164466275345,,14.65,18.0,3.78,2
3.8,3.7095000000000002,3.7095000000000002,1.209859702610183,2.844,6.7,32.0,3.8,2
3.91,2.744,2.744,,2.737,6.0,27.0,3.91,1
3.94,3.251,3.251,,3.247,11.6,72.0,3.94,1
4.02,3.2234285714285713,3.025,0.640570802004706,2.9525,5.333333333333333,16.666666666666668,4.02,7
4.03,2.984,2.984,,3.037,11.0,41.0,4.03,1
4.05,2.846,2.846,,,13.6,,4.05,1
4.08,3.114,3.114,,,16.5,46.0,4.08,1
4.1,2.674,2.674,,2.736,28.0,18.0,4.1,1
4.18,2.789,2.789,,,,,4.18,1
4.19,3.077,3.077,,3.103,22.4,55.0,4.19,1
4.21,2.995,2.995,,3.129,42.0,17.0,4.21,1
4.29,2.585,2.585,,,11.3,21.0,4.29,1
4.34,3.451,3.451,,3.519,19.0,23.0,4.34,1
4.35,2.469,2.469,,2.511,13.0,12.0,4.35,1
4.38,3.171,3.171,,3.236,12.0,30.0,4.38,1
4.4,2.764,2.764,,2.865,18.0,22.0,4.4,1
4.44,3.094,3.094,,3.18,48.2,60.0,4.44,1
4.45,2.938,2.938,,2.936,7.9,56.0,4.45,1
4.47,4.178,4.178,,,0.0,44.0,4.47,1
4.48,2.689,2.689,,2.714,5.0,6.0,4.48,1
4.56,3.051,3.051,,,22.1,,4.56,1
4.64,7.772,7.772,,,0.0,47.0,4.64,1
4.67,2.703,2.703,,2.676,15.3,48.0,4.67,1
4.7,2.5,2.5,,,17.1,55.0,4.7,1
4.72,3.035,3.035,,3.093,27.0,34.0,4.72,1
4.78,2.609,2.609,,,8.3,60.0,4.78,1
4.82,2.954,2.954,,2.976,19.3,29.0,4.82,1
4.83,2.9743636363636368,2.766,0.5027311951186783,2.895375,10.554545454545455,23.454545454545453,4.83,11
4.84,2.819,2.819,,2.866,21.0,12.0,4.84,1
4.85,2.846,2.846,,,0.0,17.0,4.85,1
4.86,2.7904999999999998,2.7904999999999998,0.13505739520663093,2.882,9.55,46.0,4.86,2
4.89,2.742,2.742,0.17819090885900982,2.7535,15.5,38.5,4.89,2
4.92,2.82,2.82,,2.829,9.5,45.0,4.92,1
4.95,3.982,3.982,,4.002,2.0,54.0,4.95,1
4.99,3.3303333333333334,2.936,1.0448829280514316,2.55,11.666666666666666,28.666666666666668,4.99,3
5.0,3.9057142857142857,3.912,0.09681720626299538,,,,5.0,7
5.01,3.13,3.13,,,16.1,60.0,5.01,1
5.02,2.9,2.9,,2.909,12.1,59.0,5.02,1
5.04,3.087,3.087,,,33.3,,5.04,1
5.07,3.016,3.016,,,33.8,,5.07,1
5.09,2.816,2.816,,,24.7,78.0,5.09,1
5.11,2.771,2.771,,,11.7,34.0,5.11,1
5.13,2.915,2.915,,2.992,33.0,48.0,5.13,1
5.22,2.621,2.621,,,0.0,100.0,5.22,1
5.24,2.906,2.906,,,21.4,99.0,5.24,1
5.26,2.777,2.777,,,35.9,,5.26,1
5.28,2.816,2.816,,,31.9,,5.28,1
5.36,2.982,2.982,,3.007,7.0,48.0,5.36,1
5.37,3.055,3.055,,3.112,25.0,47.0,5.37,1
