RouteID,Average Speed_mean,Average Speed_median,Average Speed_std,Average Grade Adjusted Pace_mean,Elevation Gain_mean,Relative Effort_mean,Distance_mean,Distance_count
11.71,3.181,3.181,,3.247,52.0,111.0,11.71,1
11.72,2.945,2.945,,2.98,87.7,137.0,11.72,1
11.81,2.8194999999999997,2.8194999999999997,0.034648232278140935,2.8369999999999997,60.1,95.5,11.81,2
11.89,3.147,3.147,,3.222,87.0,112.0,11.89,1
11.91,3.043,3.043,,3.113,67.0,169.0,11.91,1
11.95,3.382,3.382,,3.448,50.0,81.0,11.95,1
12.05,3.021,3.021,,3.124,84.0,93.0,12.05,1
12.07,3.095,3.095,,,,,12.07,1
12.09,2.951,2.951,,3.047,85.0,104.0,12.09,1
12.14,2.941,2.941,,2.949,26.3,156.0,12.14,1
12.18,3.328,3.328,,,88.1,174.0,12.18,1
12.25,3.375,3.375,,3.414,14.0,88.0,12.25,1
12.4,3.198,3.198,0.08343860018001284,,48.6,180.5,12.4,2
12.55,3.201,3.201,,3.25,37.0,49.0,12.55,1
12.57,2.819,2.819,,3.038,267.0,113.0,12.57,1
12.59,2.852,2.852,,2.9,50.0,33.0,12.59,1
12.63,2.959,2.959,,3.022,62.0,113.0,12.63,1
12.64,3.237,3.237,,3.282,32.0,160.0,12.64,1
12.66,2.714,2.714,,2.777,41.0,55.0,12.66,1
12.69,3.101,3.101,,3.159,54.0,96.0,12.69,1
12.74,3.106,3.106,,3.128,52.6,174.0,12.74,1
12.77,3.23,3.23,,3.301,45.0,51.0,12.77,1
12.87,2.9511249999999998,2.9615,0.11149687695818454,3.032571428571429,56.0,78.57142857142857,12.87,8
12.88,2.9628333333333337,2.968,0.12589955110998996,3.0191666666666666,58.625,81.75,12.88,12
12.89,2.959,2.959,0.009899494936611831,3.0035,78.0,149.0,12.89,2
12.91,2.8495,2.8495,0.14919953083036158,2.8675,71.6,138.5,12.91,2
12.94,2.8280000000000003,2.8280000000000003,0.12162236636408612,2.862,66.7,79.5,12.94,2
12.95,3.074,3.074,,3.094,52.3,135.0,12.95,1
12.97,2.842,2.842,,2.91,79.0,23.0,12.97,1
12.98,2.935,2.935,,3.005,80.0,36.0,12.98,1
13.02,2.8674999999999997,2.8674999999999997,0.07000357133746819,2.9299999999999997,72.5,54.5,13.02,2
13.03,3.025,3.025,0.2107178207935912,3.1045,88.5,95.5,13.03,2
13.07,2.847,2.847,,2.907,46.0,24.0,13.07,1
13.1,2.987,2.987,,3.044,54.0,73.0,13.1,1
13.11,3.005,3.005,,3.04,94.2,129.0,13.11,1
13.12,2.914,2.914,,2.937,86.0,172.0,13.12,1
13.14,2.8765,2.8765,0.1195010460205264,2.9314999999999998,120.55000000000001,155.5,13.14,2
13.19,3.21,3.21,,3.293,89.0,67.0,13.19,1
13.2,3.015,3.015,,3.068,57.0,74.0,13.2,1
13.21,2.921,2.921,,2.929,73.7,158.0,13.21,1
13.27,2.944,2.944,,2.995,53.0,29.0,13.27,1
13.3,1.8599999999999999,1.8599999999999999,2.1368766927457465,1.8864999999999998,60.7,155.0,13.3,2
13.45,3.096,3.096,,3.112,78.7,128.0,13.45,1
13.49,3.464,3.464,,3.507,29.0,128.0,13.49,1
13.66,3.269,3.269,,3.326,43.0,76.0,13.66,1
13.68,2.98625,3.05,0.1613038023937026,3.151,52.4,115.0,13.68,4
13.71,3.21,3.21,,3.256,24.0,96.0,13.71,1
13.72,3.156,3.156,,3.213,137.0,161.0,13.72,1
13.76,2.9764999999999997,2.9764999999999997,0.3641599923110719,3.0275,46.0,50.5,13.76,2
13.8,3.454,3.454,,3.495,42.0,77.0,13.8,1
13.84,3.065,3.065,,,,,13.84,1
13.85,2.881,2.881,,2.905,75.0,110.0,13.85,1
13.94,3.217,3.217,,3.285,77.0,126.0,13.94,1
14.17,3.231,3.231,,3.254,52.4,173.0,14.17,1
14.28,3.176,3.176,,3.198,52.6,172.0,14.28,1
14.36,3.443,3.443,,3.493,34.0,152.0,14.36,1
14.4,3.261,3.261,,3.283,52.9,140.0,14.4,1
14.48,2.7735000000000003,2.7735000000000003,0.1251579002700188,2.8145,73.2,137.5,14.48,2
14.49,2.8493333333333335,2.82,0.05080682368868708,2.8949999999999996,82.13333333333334,88.66666666666667,14.49,3
14.6,2.846,2.846,,2.866,85.7,117.0,14.6,1
14.67,3.147,3.147,,3.252,117.0,92.0,14.67,1
14.95,3.435,3.435,,3.479,23.0,76.0,14.95,1
15.05,3.085,3.085,,3.156,95.0,49.0,15.05,1
15.06,2.966,2.966,,2.983,83.7,172.0,15.06,1
15.07,2.934,2.934,,2.966,110.2,181.0,15.07,1
15.11,2.925,2.925,,,78.0,213.0,15.11,1
15.19,2.701,2.701,,2.743,43.0,49.0,15.19,1
15.29,3.01,3.01,0.11737972567696668,3.055,88.25,127.0,15.29,2
15.37,2.79,2.79,,2.891,123.0,144.0,15.37,1
15.62,3.019,3.019,,3.038,52.1,179.0,15.62,1
15.63,3.071,3.071,,3.121,42.0,102.0,15.63,1
16.02,2.989,2.989,,3.008,52.4,199.0,16.02,1
16.09,2.925333333333333,2.981,0.1316447239099742,2.988,101.66666666666667,72.66666666666667,16.09,3
16.1,2.8665,2.8975,0.16538137742805248,2.9443333333333332,92.975,137.25,16.1,4
16.11,2.832,2.832,,2.85,88.4,159.0,16.11,1
16.17,2.809,2.809,,2.868,94.0,143.0,16.17,1
16.18,3.294,3.294,,3.337,44.0,156.0,16.18,1
16.24,2.786,2.786,,2.798,60.6,147.0,16.24,1
16.29,2.971,2.971,,2.992,87.4,166.0,16.29,1
16.54,3.276,3.276,,3.36,128.0,89.0,16.54,1
16.83,3.001,3.001,,3.027,92.8,158.0,16.83,1
17.7,3.0123333333333338,3.012,0.03850108223587139,3.079333333333333,82.66666666666667,121.66666666666667,17.7,3
17.81,2.89,2.89,,2.916,95.4,208.0,17.81,1
19.31,2.93825,2.9234999999999998,0.05622203008311484,3.0015,101.0,73.5,19.31,4
19.32,2.9385,2.9385,0.014849242404917433,3.0060000000000002,94.5,153.0,19.32,2
19.33,2.824,2.824,,2.893,94.0,106.0,19.33,1
21.09,3.038,3.038,,3.101,86.0,183.0,21.09,1
21.13,3.146,3.146,,3.228,144.0,260.0,21.13,1
